smoke_run_id,source_final_run_id,case_id,condition,model_alias,requested_model_id,reasoning_effort,repetition_source,smoke_purpose,execute_in_kimi_concurrency_batch,judge_pipeline_required,accepted_as_production_run
P01FS_C01_BL_SOL_R01,P01F_C01_BL_SOL_R01,C01,BL,SOL,gpt-5.6-sol,medium,1,OPENAI_BASIC,False,True,False
P01FS_C01_BL_GPT41_R01,P01F_C01_BL_GPT41_R01,C01,BL,GPT41,gpt-4.1-2025-04-14,,1,OPENAI_BASIC,False,False,False
P01FS_C01_BL_KIMI3_R01,P01F_C01_BL_KIMI3_R01,C01,BL,KIMI3,kimi-k3,high,1,KIMI_CONCURRENCY_BASIC,True,False,False
P01FS_C02_SD_AUTH_KIMI3_R01,P01F_C02_SD_AUTH_KIMI3_R01,C02,SD_AUTH,KIMI3,kimi-k3,high,1,KIMI_CONCURRENCY_AUTHORITY,True,False,False
P01FS_C06_SD_KIMI3_R01,P01F_C06_SD_KIMI3_R01,C06,SD,KIMI3,kimi-k3,high,1,KIMI_CONCURRENCY_TEMPORAL,True,False,False
P01FS_C07_SD_KIMI3_R01,P01F_C07_SD_KIMI3_R01,C07,SD,KIMI3,kimi-k3,high,1,KIMI_CONCURRENCY_CONTRADICTION_SENTINEL,True,False,False
P01FS_C08_SD_KIMI3_R01,P01F_C08_SD_KIMI3_R01,C08,SD,KIMI3,kimi-k3,high,1,KIMI_CONCURRENCY_CONTRADICTION,True,False,False
P01FS_C10_SD_AUTH_KIMI3_R01,P01F_C10_SD_AUTH_KIMI3_R01,C10,SD_AUTH,KIMI3,kimi-k3,high,1,KIMI_CONCURRENCY_AUTHORITY_SENTINEL,True,True,False
